"X","Y"
199.3,223.6
193,208.5
190.3,210.6
194.8,222.4
190.3,225.8
190.3,221.8
173.6,216
182.1,220.8
181.6,214.2
196.5,215.4
174.1,223.9
175.2,211.2
181.3,219.8
183.8,207.4
171,204.2
183.1,209.7
182.5,219.1
179.3,213
199.7,221.9
195.8,231.6
178.9,215.1
185.3,219.2
195.9,225.7
194.4,214.6
188.7,205.2
203.9,236.3
189.5,221.2
176.5,213.8
196.7,213.9
194.2,219.9
193.2,218
188.9,212.5
169.1,211.3
180.3,215.5
181.5,219.7
175.9,205.7
177.3,208.1
171,209.9
178.9,216.7
195.3,222.7
174.2,206.9
190.5,220.2
183.2,209.6
182,222.4
189.3,226.3
194.6,217.5
191.7,217.9
186.1,225.7
184.2,223.3
193,207.8
192.1,218.1
188.5,209.5
182.7,221
181.4,207.1
186.2,215.7
171.2,221.2
178.5,216.1
174.3,211.4
179.1,212.2
193,233.7
189.5,228.3
186.8,217.5
180.4,220.4
183.3,210.7
192.9,220.9
203.9,226.2
184.7,218
177,204.4
